School,Type,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,W,L,Seed,Finish
Michigan State,Team,18,3625,467,968,0.482,320,617,0.519,147,351,0.419,296,386,0.767,175,526,701,321,58,133,222,321,1377,76.5,16,2,1,4
Michigan State,Opponent,18,3625,415,1096,0.379,293,735,0.399,122,361,0.338,239,318,0.752,190,369,559,224,89,44,141,369,1191,66.2,,,,
Purdue,Team,18,3600,483,992,0.487,314,594,0.529,169,398,0.425,244,329,0.742,137,448,585,289,97,81,171,262,1379,76.6,15,3,3,2
Purdue,Opponent,18,3600,454,1040,0.437,331,687,0.482,123,353,0.348,162,236,0.686,166,407,573,230,92,45,193,311,1193,66.3,,,,
Ohio State,Team,18,3650,498,1006,0.495,384,688,0.558,114,318,0.358,225,311,0.723,163,489,652,263,109,72,191,322,1335,74.2,15,3,2,8
Ohio State,Opponent,18,3650,415,1004,0.413,285,628,0.454,130,376,0.346,208,310,0.671,154,384,538,214,87,50,184,282,1168,64.9,,,,
Michigan,Team,18,3625,455,1000,0.455,292,563,0.519,163,437,0.373,207,302,0.685,142,429,571,254,96,50,158,297,1280,71.1,13,5,5,1
Michigan,Opponent,18,3625,431,950,0.454,333,675,0.493,98,275,0.356,221,307,0.72,137,437,574,196,77,64,208,314,1181,65.6,,,,
Nebraska,Team,18,3625,432,995,0.434,313,642,0.488,119,353,0.337,284,388,0.732,173,462,635,225,101,95,197,307,1267,70.4,13,5,4,8
Nebraska,Opponent,18,3625,448,1089,0.411,353,769,0.459,95,320,0.297,206,310,0.665,232,436,668,225,89,64,203,336,1197,66.5,,,,
Penn State,Team,18,3650,487,1050,0.464,361,710,0.508,126,340,0.371,197,284,0.694,171,425,596,238,110,92,208,320,1297,72.1,9,9,7,4
Penn State,Opponent,18,3650,443,999,0.443,332,682,0.487,111,317,0.35,249,347,0.718,170,434,604,231,105,58,215,298,1246,69.2,,,,
Indiana,Team,18,3650,453,1017,0.445,340,688,0.494,113,329,0.343,213,336,0.634,181,431,612,245,122,66,215,321,1232,68.4,9,9,6,12
Indiana,Opponent,18,3650,437,1002,0.436,310,644,0.481,127,358,0.355,219,317,0.691,181,443,624,239,104,89,247,317,1220,67.8,,,,
Maryland,Team,18,3625,449,960,0.468,328,625,0.525,121,335,0.361,261,343,0.761,152,431,583,245,76,57,211,291,1280,71.1,8,10,8,12
Maryland,Opponent,18,3625,478,1050,0.455,313,637,0.491,165,413,0.4,192,268,0.716,172,401,573,275,97,79,182,320,1313,72.9,,,,
Wisconsin,Team,18,3625,409,948,0.431,292,596,0.49,117,352,0.332,221,311,0.711,157,372,529,222,101,67,199,321,1156,64.2,7,11,9,8
Wisconsin,Opponent,18,3625,437,939,0.465,336,648,0.519,101,291,0.347,250,325,0.769,151,425,576,215,98,78,206,325,1225,68.1,,,,
Northwestern,Team,18,3650,412,1008,0.409,277,621,0.446,135,387,0.349,182,247,0.737,184,398,582,237,82,69,211,336,1141,63.4,6,12,10,12
Northwestern,Opponent,18,3650,416,941,0.442,294,572,0.514,122,369,0.331,248,335,0.74,167,426,593,256,114,74,197,268,1202,66.8,,,,
Minnesota,Team,18,3675,440,1085,0.406,316,730,0.433,124,355,0.349,247,353,0.7,185,444,629,230,102,61,201,280,1251,69.5,4,14,11,14
Minnesota,Opponent,18,3675,516,1110,0.465,361,702,0.514,155,408,0.38,236,337,0.7,197,515,712,307,110,98,190,305,1423,79.1,,,,
Illinois,Team,18,3675,463,1062,0.436,338,668,0.506,125,394,0.317,242,330,0.733,191,337,528,226,135,34,229,404,1293,71.8,4,14,13,14
Illinois,Opponent,18,3675,460,913,0.504,339,569,0.596,121,344,0.352,347,469,0.74,159,445,604,258,115,97,279,339,1388,77.1,,,,
Iowa,Team,18,3625,507,1079,0.47,379,737,0.514,128,342,0.374,227,321,0.707,211,423,634,305,86,65,237,303,1369,76.1,4,14,12,12
Iowa,Opponent,18,3625,546,1103,0.495,371,695,0.534,175,408,0.429,228,323,0.706,178,413,591,325,119,62,185,325,1495,83.1,,,,
Rutgers,Team,18,3650,388,1049,0.37,316,787,0.402,72,262,0.275,194,285,0.681,211,410,621,154,116,54,217,329,1042,57.9,3,15,14,8
Rutgers,Opponent,18,3650,447,983,0.455,319,623,0.512,128,360,0.356,235,324,0.725,179,490,669,259,95,94,237,305,1257,69.8,,,,
