School,Type,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,W,L,Seed,Finish
Illinois,Team,18,3775,428,1040,0.412,286,632,0.453,142,408,0.348,249,319,0.781,121,432,553,221,99,30,196,323,1247,69.3,5,13,12,8
Illinois,Opponent,18,3775,497,1074,0.463,344,668,0.515,153,406,0.377,221,304,0.727,176,518,694,271,91,69,236,319,1368,76,,,,
Indiana,Team,18,3625,498,1044,0.477,320,596,0.537,178,448,0.397,232,313,0.741,205,457,662,274,116,58,233,329,1406,78.1,15,3,1,8
Indiana,Opponent,18,3625,449,1005,0.447,331,674,0.491,118,331,0.356,207,313,0.661,154,384,538,217,106,46,216,325,1223,67.9,,,,
Iowa,Team,18,3600,465,1062,0.438,332,702,0.473,133,360,0.369,301,424,0.71,212,459,671,251,122,77,177,296,1364,75.8,12,6,5,12
Iowa,Opponent,18,3600,463,1088,0.426,333,669,0.498,130,419,0.31,191,284,0.673,216,448,664,244,94,65,227,376,1247,69.3,,,,
Maryland,Team,18,3625,455,997,0.456,329,627,0.525,126,370,0.341,261,345,0.757,172,481,653,234,97,109,226,310,1297,72.1,12,6,3,4
Maryland,Opponent,18,3625,434,1078,0.403,313,694,0.451,121,384,0.315,215,312,0.689,211,413,624,210,114,50,188,318,1204,66.9,,,,
Michigan,Team,18,3600,452,1010,0.448,289,568,0.509,163,442,0.369,224,300,0.747,144,422,566,244,94,35,185,273,1291,71.7,10,8,8,4
Michigan,Opponent,18,3600,479,1011,0.474,347,625,0.555,132,386,0.342,199,260,0.765,136,448,584,253,85,61,199,296,1289,71.6,,,,
Michigan State,Team,18,3625,528,1090,0.484,351,710,0.494,177,380,0.466,213,293,0.727,221,515,736,364,79,87,209,358,1446,80.3,13,5,2,1
Michigan State,Opponent,18,3625,410,1041,0.394,294,695,0.423,116,346,0.335,266,365,0.729,174,381,555,197,90,70,170,292,1202,66.8,,,,
Minnesota,Team,18,3625,415,1040,0.399,315,690,0.457,100,350,0.286,243,349,0.696,174,428,602,214,93,50,206,339,1173,65.2,2,16,13,14
Minnesota,Opponent,18,3625,467,1004,0.465,336,650,0.517,131,354,0.37,275,378,0.728,169,498,667,267,104,84,221,331,1340,74.4,,,,
Nebraska,Team,18,3625,469,1058,0.443,352,712,0.494,117,346,0.338,198,273,0.725,187,398,585,204,123,57,181,334,1253,69.6,6,12,11,8
Nebraska,Opponent,18,3625,437,950,0.46,304,612,0.497,133,338,0.393,259,359,0.721,171,440,611,255,78,71,222,293,1266,70.3,,,,
Northwestern,Team,18,3625,442,1031,0.429,305,617,0.494,137,414,0.331,174,273,0.637,195,424,619,259,72,50,188,340,1195,66.4,8,10,9,12
Northwestern,Opponent,18,3625,407,955,0.426,270,578,0.467,137,377,0.363,260,350,0.743,161,447,608,255,93,69,197,279,1211,67.3,,,,
Ohio State,Team,18,3650,449,1025,0.438,340,713,0.477,109,312,0.349,254,371,0.685,180,484,664,207,87,86,217,332,1261,70.1,11,7,7,8
Ohio State,Opponent,18,3650,443,1065,0.416,303,649,0.467,140,416,0.337,244,350,0.697,194,462,656,242,87,44,199,340,1270,70.6,,,,
Penn State,Team,18,3650,401,1002,0.4,276,609,0.453,125,393,0.318,230,320,0.719,172,430,602,189,87,74,208,359,1157,64.3,7,11,10,12
Penn State,Opponent,18,3650,438,994,0.441,308,644,0.478,130,350,0.371,291,408,0.713,181,473,654,222,111,56,204,317,1297,72.1,,,,
Purdue,Team,18,3625,489,1044,0.468,362,712,0.508,127,332,0.383,258,349,0.739,213,482,695,304,67,66,213,310,1363,75.7,12,6,4,2
Purdue,Opponent,18,3625,448,1039,0.431,323,676,0.478,125,363,0.344,230,314,0.732,138,377,515,224,106,64,147,360,1251,69.5,,,,
Rutgers,Team,18,3675,433,1055,0.41,346,767,0.451,87,288,0.302,233,340,0.685,150,419,569,208,109,53,237,304,1186,65.9,1,17,14,14
Rutgers,Opponent,18,3675,563,1196,0.471,384,755,0.509,179,441,0.406,244,337,0.724,263,529,792,322,122,75,204,303,1549,86.1,,,,
Wisconsin,Team,18,3625,419,939,0.446,287,592,0.485,132,347,0.38,259,372,0.696,166,390,556,206,117,48,184,297,1229,68.3,12,6,6,12
Wisconsin,Opponent,18,3625,408,937,0.435,300,658,0.456,108,279,0.387,227,307,0.739,168,403,571,200,81,56,230,355,1151,63.9,,,,
