School,Type,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,W,L,Seed,Finish
Michigan State,Team,20,4025,524,1093,0.479,382,693,0.551,142,400,0.355,310,402,0.771,215,579,794,354,103,109,250,328,1500,75,16,4,1,1
Michigan State,Opponent,20,4025,464,1233,0.376,324,774,0.419,140,459,0.305,221,326,0.678,251,398,649,247,126,53,200,356,1289,64.5,,,,
Purdue,Team,20,4050,508,1173,0.433,326,672,0.485,182,501,0.363,267,368,0.726,246,485,731,276,138,88,207,354,1465,73.3,16,4,2,8
Purdue,Opponent,20,4050,445,1082,0.411,294,627,0.469,151,455,0.332,265,366,0.724,197,466,663,252,97,89,258,342,1306,65.3,,,,
Michigan,Team,20,4000,503,1147,0.439,349,692,0.504,154,455,0.338,210,285,0.737,154,512,666,249,115,77,174,295,1370,68.5,15,5,3,2
Michigan,Opponent,20,4000,464,1129,0.411,367,797,0.46,97,332,0.292,200,294,0.68,194,525,719,200,85,78,223,285,1225,61.3,,,,
Wisconsin,Team,20,4100,492,1123,0.438,357,747,0.478,135,376,0.359,186,308,0.604,156,537,693,230,98,81,188,315,1305,65.3,14,6,4,4
Wisconsin,Opponent,20,4100,440,1145,0.384,321,757,0.424,119,388,0.307,207,308,0.672,204,541,745,198,105,82,217,343,1206,60.3,,,,
Maryland,Team,20,4000,469,1078,0.435,324,678,0.478,145,400,0.363,258,337,0.766,209,563,772,238,72,80,268,311,1341,67.1,13,7,5,12
Maryland,Opponent,20,4000,456,1166,0.391,311,699,0.445,145,467,0.31,230,322,0.714,193,438,631,247,140,68,168,333,1287,64.4,,,,
Iowa,Team,20,4050,512,1173,0.436,357,740,0.482,155,433,0.358,322,435,0.74,213,491,704,294,121,58,240,344,1501,75.1,10,10,6,8
Iowa,Opponent,20,4050,546,1185,0.461,379,693,0.547,167,492,0.339,274,382,0.717,205,512,717,335,134,68,242,400,1533,76.7,,,,
Minnesota,Team,20,4000,480,1103,0.435,379,793,0.478,101,310,0.326,298,440,0.677,203,502,705,272,92,75,230,321,1359,68,9,11,7,4
Minnesota,Opponent,20,4000,509,1154,0.441,376,760,0.495,133,394,0.338,248,361,0.687,198,496,694,262,125,81,210,364,1399,70,,,,
Ohio State,Team,20,4025,454,1106,0.41,311,660,0.471,143,446,0.321,240,327,0.734,193,494,687,248,124,41,253,369,1291,64.6,8,12,8,8
Ohio State,Opponent,20,4025,471,1084,0.435,337,685,0.492,134,399,0.336,278,377,0.737,176,514,690,243,131,67,230,338,1354,67.7,,,,
Indiana,Team,20,4100,475,1137,0.418,370,755,0.49,105,382,0.275,265,390,0.679,208,505,713,220,128,87,227,354,1320,66,8,12,9,12
Indiana,Opponent,20,4100,507,1163,0.436,360,734,0.49,147,429,0.343,225,354,0.636,213,518,731,273,104,84,216,358,1386,69.3,,,,
Rutgers,Team,20,4025,493,1173,0.42,380,813,0.467,113,360,0.314,247,384,0.643,229,519,748,230,121,67,241,367,1346,67.3,7,13,12,14
Rutgers,Opponent,20,4025,511,1160,0.441,351,724,0.485,160,436,0.367,273,387,0.705,193,518,711,259,127,73,210,364,1455,72.8,,,,
Penn State,Team,20,4025,485,1175,0.413,358,759,0.472,127,416,0.305,266,388,0.686,234,495,729,232,154,78,241,370,1363,68.2,7,13,10,12
Penn State,Opponent,20,4025,488,1107,0.441,351,739,0.475,137,368,0.372,275,376,0.731,179,519,698,251,132,75,261,359,1388,69.4,,,,
Illinois,Team,20,4025,500,1180,0.424,363,770,0.471,137,410,0.334,282,390,0.723,209,434,643,244,151,51,254,428,1419,71,7,13,11,12
Illinois,Opponent,20,4025,513,1094,0.469,392,722,0.543,121,372,0.325,361,480,0.752,200,512,712,281,123,76,296,378,1508,75.4,,,,
Nebraska,Team,20,4025,483,1194,0.405,347,771,0.45,136,423,0.322,244,359,0.68,218,476,694,234,123,76,191,356,1346,67.3,6,14,13,8
Nebraska,Opponent,20,4025,521,1168,0.446,371,766,0.484,150,402,0.373,270,383,0.705,247,556,803,254,99,80,230,346,1462,73.1,,,,
Northwestern,Team,20,4000,433,1126,0.385,301,685,0.439,132,441,0.299,211,286,0.738,144,499,643,249,102,78,206,365,1209,60.5,4,16,14,14
Northwestern,Opponent,20,4000,476,1111,0.428,370,751,0.493,106,360,0.294,279,383,0.728,181,578,759,268,114,72,209,311,1337,66.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
